node_id,computed_status,is_root,required_children,affected_effective_sources
generated:dfm:da-refusals,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
generated:dfm:sapient-repair,cleared,no,0,hf:schneiderkamplab/sapient-synth-flan-dialog-fsopt-data-qrecc;hf:schneiderkamplab/sapient-synth-flan-dialog-fsopt-data-qrecc-ii;hf:schneiderkamplab/sapient-synth-flan-dialog-zsopt-data-qrecc;hf:schneiderkamplab/sapient-synth-flan-dialog-zsopt-data-qrecc-ii;hf:schneiderkamplab/sapient-synth-flan-flan-fsnoopt-data-aeslc-1.0.0;hf:schneiderkamplab/sapient-synth-flan-flan-fsnoopt-data-opinion-abstracts-idebate;hf:schneiderkamplab/sapient-synth-flan-flan-fsnoopt-data-opinion-abstracts-rotten-tomatoes;hf:schneiderkamplab/sapient-synth-flan-flan-fsopt-data-aeslc-1.0.0;hf:schneiderkamplab/sapient-synth-flan-flan-fsopt-data-opinion-abstracts-idebate;hf:schneiderkamplab/sapient-synth-flan-flan-fsopt-data-opinion-abstracts-rotten-tomatoes;hf:schneiderkamplab/sapient-synth-flan-flan-zsnoopt-data-aeslc-1.0.0;hf:schneiderkamplab/sapient-synth-flan-flan-zsnoopt-data-opinion-abstracts-idebate;hf:schneiderkamplab/sapient-synth-flan-flan-zsnoopt-data-opinion-abstracts-rotten-tomatoes;hf:schneiderkamplab/sapient-synth-flan-flan-zsopt-data-aeslc-1.0.0;hf:schneiderkamplab/sapient-synth-flan-flan-zsopt-data-opinion-abstracts-idebate;hf:schneiderkamplab/sapient-synth-flan-flan-zsopt-data-opinion-abstracts-rotten-tomatoes;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1309-amazonreview-summary-classification;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1370-newscomm-classification;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1371-newscomm-translation;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1373-newscomm-translation;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1374-newscomm-translation;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1375-newscomm-translation;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1376-newscomm-translation;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1377-newscomm-translation;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task264-paper-reviews-accept-reject;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task265-paper-reviews-language-identification;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task266-paper-reviews-reviewer-perspective;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task589-amazonfood-summary-text-generation;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task590-amazonfood-summary-correction-classification;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task618-amazonreview-summary-text-generation;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task634-allegro-reviews-classification;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task635-allegro-reviews-answer-generation;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task672-amazon-yelp-summarization;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task870-msmarco-answer-generation;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task871-msmarco-question-generation;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task902-deceptive-opinion-spam-classification;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task903-deceptive-opinion-spam-classification;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task906-dialogre-identify-names;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task907-dialogre-identify-relationships;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task908-dialogre-identify-familial-relationships;hf:schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task909-dialogre-prevalent-speakers;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1309-amazonreview-summary-classification;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1370-newscomm-classification;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1371-newscomm-translation;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1373-newscomm-translation;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1374-newscomm-translation;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1375-newscomm-translation;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1376-newscomm-translation;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1377-newscomm-translation;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task264-paper-reviews-accept-reject;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task265-paper-reviews-language-identification;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task266-paper-reviews-reviewer-perspective;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task589-amazonfood-summary-text-generation;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task590-amazonfood-summary-correction-classification;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task618-amazonreview-summary-text-generation;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task634-allegro-reviews-classification;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task635-allegro-reviews-answer-generation;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task672-amazon-yelp-summarization;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task870-msmarco-answer-generation;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task871-msmarco-question-generation;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task902-deceptive-opinion-spam-classification;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task903-deceptive-opinion-spam-classification;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task906-dialogre-identify-names;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task907-dialogre-identify-relationships;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task908-dialogre-identify-familial-relationships;hf:schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task909-dialogre-prevalent-speakers;hf:schneiderkamplab/sapient-synth-platypus-reclor;hf:schneiderkamplab/sapient-synth-platypus-scibench;hf:schneiderkamplab/sapient-synth-tasksource-pragmeval-sarcasm;hf:schneiderkamplab/sapient-synth-tasksource-reclor
generated:dfm:transformations,cleared,no,0,hf:schneiderkamplab/transformations-danish-danish;hf:schneiderkamplab/transformations-danish-english;hf:schneiderkamplab/transformations-english-danish;hf:schneiderkamplab/transformations-english-english
generated:dfm:when2call,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
generated:dfm:wildchat-qwen-responses,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:synquid/wildchat-100k-qwen-messages
generated:dolci:deepresearch-trajectories,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-Tool-Use
generated:dolci:hardcoded,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools
generated:dolci:precise-if,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools
generated:dolci:python-algorithms,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools
generated:dolci:science-qa-trajectories,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-Tool-Use
generated:dolci:simfc-trajectories,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-Tool-Use
generated:dolci:transformations,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools;hf:allenai/Dolci-Instruct-SFT-Tool-Use
generated:dolci:verifiable-reasoning,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools
generated:euroblocks:eurollm-synthetic,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
generated:euroblocks:hardcoded,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
generated:euroblocks:llama-synthetic,cleared,no,2,hf:danish-foundation-models/dfm-dyna-instruct
generated:oliverkinch:transformations,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:synquid/translation-100k
generated:smoltalk2:multi-turn-if,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
generated:smoltalk2:qwen-regenerated,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
generated:smoltalk2:smolagents-toolcalling,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
generated:synquid:agentic-code-curation,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
generated:synquid:transformations,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/transformations-danish-danish;hf:schneiderkamplab/transformations-danish-english;hf:synquid/danish-verifiable-reasoning;hf:synquid/ifbench-train;hf:synquid/mt-da-deepseek;hf:synquid/wiki-instruct-da
generated:tulu3:ai2-if-seeds,cleared,no,0,hf:allenai/IF_sft_data_verified;hf:allenai/tulu-3-sft-mixture;hf:allenai/tulu-3-sft-personas-instruction-following;hf:danish-foundation-models/dfm-dyna-instruct
generated:tulu3:claude35-output-layer,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools;hf:allenai/IF_sft_data_verified;hf:allenai/tulu-3-sft-mixture;hf:allenai/tulu-3-sft-personas-code;hf:allenai/tulu-3-sft-personas-math;hf:danish-foundation-models/dfm-dyna-instruct
generated:tulu3:gpt4o-persona-layer,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools;hf:allenai/IF_sft_data_verified;hf:allenai/tulu-3-sft-mixture;hf:allenai/tulu-3-sft-personas-algebra;hf:allenai/tulu-3-sft-personas-code;hf:allenai/tulu-3-sft-personas-instruction-following;hf:allenai/tulu-3-sft-personas-math;hf:danish-foundation-models/dfm-dyna-instruct
hf:AI-MO/NuminaMath-TIR,cleared,no,0,hf:allenai/IF_sft_data_verified;hf:allenai/tulu-3-sft-mixture;hf:danish-foundation-models/dfm-dyna-instruct
hf:CohereForAI/aya_dataset,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools;hf:allenai/IF_sft_data_verified;hf:allenai/tulu-3-sft-mixture;hf:danish-foundation-models/dfm-dyna-instruct
hf:DBC,cleared,no,0,hf:DBC;hf:schneiderkamplab/transformations-english-danish;hf:schneiderkamplab/transformations-english-english
hf:EleutherAI/race,cleared,no,0,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
hf:GAIR/lima,cleared,no,0,hf:allenai/SciRIFF-train-mix;hf:allenai/tulu-v2-sft-long-mixture;hf:allenai/tulu-v2-sft-mixture
hf:GEM/wiki_cat_sum,cleared,yes,0,hf:GEM/wiki_cat_sum
hf:HuggingFaceH4/no_robots,cleared,no,0,hf:HuggingFaceH4/no_robots;hf:allenai/IF_sft_data_verified;hf:allenai/tulu-3-sft-mixture;hf:danish-foundation-models/dfm-dyna-instruct
hf:HuggingFaceTB/smoltalk,cleared,no,13,hf:danish-foundation-models/dfm-dyna-instruct
hf:HuggingFaceTB/smoltalk2,cleared,no,14,hf:danish-foundation-models/dfm-dyna-instruct
hf:Lex.dk,cleared,no,0,hf:Lex.dk;hf:schneiderkamplab/transformations-danish-danish;hf:schneiderkamplab/transformations-danish-english;hf:schneiderkamplab/transformations-english-danish;hf:schneiderkamplab/transformations-english-english
hf:LipengCS/Table-GPT,cleared,no,0,hf:allenai/Dolci-Instruct-SFT;hf:allenai/Dolci-Instruct-SFT-No-Tools;hf:allenai/IF_sft_data_verified;hf:allenai/tulu-3-sft-mixture;hf:danish-foundation-models/dfm-dyna-instruct
hf:Magpie-Align/Magpie-Llama-3.1-Pro-300K-Filtered,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
hf:Magpie-Align/Magpie-Llama-3.1-Pro-DPO-100K-v0.1,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
hf:Magpie-Align/Magpie-Qwen-Air-300K-Filtered,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
hf:Magpie-Align/Magpie-Reasoning-V1-150K,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
hf:MegaScience/TextbookReasoning,cleared,yes,0,hf:MegaScience/TextbookReasoning
hf:NousResearch/hermes-function-calling-v1,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
hf:Open-Orca/OpenOrca,cleared,no,0,hf:allenai/SciRIFF-train-mix;hf:allenai/tulu-v2-sft-long-mixture;hf:allenai/tulu-v2-sft-mixture
