document_sha256,occurrences,instruction_generation_rows,instruction_generation_ifeval_rows,languages,document_chars,content_group,marker_stratum,restrictive_notice,open_licence_marker,public_domain_marker,government_copyright_marker,copyright_marker,classification_tied,script_group,domains
058c68fa9fa146cfdf7d3d2fe688456b2779000d6f1bf68fff85efb0e65131ae,2,2,0,French,14051,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0597d01bcfe51885528911853f66d4660230b46f22e39f10850788f2d1ee4483,2,2,0,Italian,4025,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
05a5929c78fa21b209c52967e3f2574d5e66f3a9541feaaf751e83ba21607097,2,2,0,Spanish,4006,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
05ddd0002ed94e0ad7b0d84f01ec40f2e396c7bcef33127e705404fbac705783,2,2,0,English,4930,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
05e211ebc024466548f7b4b50a2ed0a8f585f00eee186acaee755cbec3164926,2,2,0,Portuguese,1830,news/blog/general web,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
05e3c81f3ddeb19b26a3234c9abbcabbe72815ad4c57f79aef0d1beca47ea14b,2,2,0,Italian,5507,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,servizi-web-marketing.it;worldweb.it
061c1da7fd0d870575695c2e82183deecb85503c1806917a1c416ef041875e53,2,2,0,English,2943,news/blog/general web,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
06221070c9375095adb63dc875b7e7bf5fc0bffeb798ce768e7adcc3a9c8c0b2,2,2,0,French,3245,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0685990014c01502bb0f5b975ffc524f124e5d9b53fa9c9123533599c1a4e6cc,2,2,0,Spanish,3675,encyclopedia/reference,no_explicit_marker,False,False,False,False,False,False,latin_or_other,es.wikipedia.org
0688f8f07b6041d2f5d080b3f74cf0b08ae584e7ea55d65239a9fa0f23da6527,2,2,0,English,5235,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
069cd69f6d8fe4c2246115241148069a915836a25d16d9f5bedef0fd1281266a,2,2,0,English,2354,government/legal/procurement,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
06a388e31c39c8f6a74d4a6e3b50d34925451dde6a0c13a429f1d98252628ad2,2,2,0,French,2323,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
06badb5313da6b3e2f74e18b7eb80dbe935d245bfadb157947f39dc8cd690dd5,2,2,0,English,6176,government/legal/procurement,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
06c5f02b5536539ea2b1625034881bec2ecbeda3c686e3ef5159a4da69e5d513,2,2,0,English,5272,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
06cd02d09bc91853c51797c7de89a340f5937c71e30b8ba6729ecc5890649dbc,2,2,0,German,6356,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
06cf3fba1c9d915cf3b8b310d100e26b464edd1660ae511cc6cc37d134177c32,2,2,0,English,6838,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
06dc25a0f052c1b09b5a37728e3a6ffc3efcc17b6ba8c93fb39284f925f12e56,2,2,0,Italian,13718,manual/technical documentation,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
06e755809501bdc66fd59e7d4e8f17a474f81d774ff8db33b21372c9e1067ecd,2,2,0,English,12298,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
06f23bc4667858a218bdbe5de7aa994f3a4853fe7a90bbade6014d66ce1930ed,2,2,0,Italian,8049,encyclopedia/reference,no_explicit_marker,False,False,False,False,False,False,latin_or_other,it.wikipedia.org
06f7258e8664edcef6b3a1c36198ba81f6e61e32bc0608bc333bfa051d223282,2,2,0,Spanish,4621,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0703f980040b6f60bfe08423b5525f78f782c1875183938e42c2b3a5bf6be632,2,2,0,Italian,3116,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
07125b27990f9989e84d9167953e007a874e9ee54eb023d1406903f40736fedb,2,2,0,Portuguese,2780,government/legal/procurement,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
